[00] こんにちは、バービーです。第2章、2本目の動画へようこそ。（間）
[01] 前回は、安心不足と過食の関係についてお話ししました。心が「足りない」と感じているとき、食べ物が代わりを務めることがある、というお話でした。（間）
[02] 今日は、その近いテーマとして、「ストレスと食欲の関係」について掘り下げていきます。あなたは、ストレスを感じたとき、食欲は増えますか。それとも、なくなりますか。（間）
[03] 実は、人によって違うんです。でも、どちらにしても、ストレスと食欲は深く結びついています。そして、どちらも「あなたのせいではない」んです。（間）
[04] 私自身、ストレスを感じると、必ず食欲が増えるタイプでした。仕事で怒られた日、人間関係でモヤモヤした日、帰り道のコンビニで、いつもより多く買ってしまう。（間）
[05] ライザップに通っていた頃は、トレーナーさんに「ストレス食べはダメ」と言われて、余計にストレスが溜まる悪循環に陥っていました。食べたらダメ、食べたら自己嫌悪、また食べる。（間）
[06] 300万円使って学んだことの一つは、「食欲を意志でコントロールしようとするほど、逆効果になる」ということでした。（間）
[07] ストレスを感じると、体はコルチゾールというホルモンを分泌します。これは、昔の人間が危険から逃れるために必要なホルモンです。（間）
[08] コルチゾールが出ると、体は「エネルギーが必要だ」と判断する。だから、甘いものや脂っこいものが欲しくなる。これは、あなたの意志が弱いからではなく、体の自然な反応なんです。（間）
[09] 逆に、ストレスで食欲がなくなる人もいます。でも、それが長く続くと、ある日突然、大量に食べてしまうこともあります。体が限界を迎えたサインです。（間）
[10] どちらのタイプでも、大切なのは「自分を責めない」こと。食欲が増えた日も、減った日も、体は必死にバランスを取ろうとしているんです。（間）
[11] マインドコーチングで学んだのは、「ストレスそのものをなくす」ことより、「ストレスとどう付き合うか」を整えることの方が大切だ、ということでした。（間）
[12] 私が12kg痩せる過程で変わったのは、ストレスを感じたときに「食べてはいけない」と自分を責めるのをやめたことです。代わりに、「今、ストレスを感じているんだな」と認める。（間）
[13] そして、食べる前に一呼吸置く。「本当にお腹が空いている？ それとも、心が疲れている？」と、自分に問いかける。（間）
[14] この問いかけだけで、食べる量が変わることがあります。食べることを完全に止める必要はありません。ただ、自分が何を求めているのかに、気づくだけでいいんです。（間）
[15] ストレスの種類によって、食欲の反応も変わります。仕事のストレス、育児のストレス、人間関係のストレス。それぞれ、体の反応が違うかもしれません。（間）
[16] 第1章で感情を書き出すワークをした方は、「ストレス」と書いた行を見返してみてください。そのとき、体はどう反応していましたか。（間）
[17] 睡眠との関係も、見逃せません。ストレスで眠れない夜のあと、翌日は食欲が増えることが多いんです。それも、体が回復を求めているサインです。（間）
[18] ジムやパーソナルトレーニングでも、「ストレス発散に運動しろ」と言われることがあります。でも、それが「痩せるための運動」になると、またプレッシャーになる。第4章以降で、心を整えるための動き方もお話ししますが、今日はまず、ストレスと食欲のつながりを理解することが大切です。（間）
[19] 300万円使って、いろいろなダイエット法を試した私から言えるのは、「ストレスを溜めない設計」が、どんな食事法よりも効いた、ということ。（間）
[20] ストレスを感じた日の夜、「今日は心が疲れていたんだな」と、自分に言ってあげてください。それだけで、翌日の自分への接し方が、少し変わります。（間）
[21] 第1章で「感情を書き出すワーク」をした方は、今週のストレスと食欲の変化を、同じシートに追記してみてください。書くことで、自分のパターンが見えてきます。（間）
[22] 過食した日も、食欲がなかった日も、どちらも「あなたのせいではない」。体は、今のあなたの状態に合わせて、必死に反応しているだけなんです。（間）
[23] 慢性ストレスと、一時的なストレスでは、食欲の反応も違います。ずっと続いているストレスは、食欲をなくすことも、逆に、常に何かを食べたくさせることもあります。（間）
[24] マインドコーチングの3ヶ月間で、毎週「今週、ストレスを感じた瞬間」を書く習慣をつけました。3週目あたりから、パターンがはっきり見えてきたんです。（間）
[25] あなたにも、無理のない範囲で試してほしいことがあります。今週、ストレスを感じた瞬間に、スマホのメモに一言だけ書く。「仕事、人間関係、体調、将来」など、タグを付けるだけでもOKです。（間）
[26] 第1章で「食べることで埋めている感情」について触れました。ストレスも、その感情の一つです。怒り、悲しみ、寂しさ、全部、食欲とつながり得ます。（間）
[27] ライザップ時代、私は「ストレス＝食べちゃダメ」と決めつけていました。でも、ストレスは消せない。だから、ずっと自分と戦っていたんです。（間）
[28] 12kg痩せる過程で変えたのは、「ストレスを感じない自分」を目指すのをやめたこと。「ストレスを感じても、自分を責めない自分」を目指すようにした。（間）
[29] コルチゾールの話を聞くと、「体のせいにしている」と感じる方もいるかもしれません。でも、これは責めるためではなく、「自分を責めなくていい根拠」を知ってほしいから、お話ししています。（間）
[30] 食欲が増えた日は、「今日は体がエネルギーを求めている日」と、ラベルを貼り替えてみてください。（間）
[31] マインドコーチングの3ヶ月間、毎回「今週、ストレス食べはありましたか？」と聞かれました。最初は「はい」と答えるのが恥ずかしかった。でも、正直に言えるようになったとき、ストレス食べの回数が、自然と減っていったんです。（間）
[32] ストレスと食欲の関係を知っているだけで、「今日の自分、おかしくない」と、自分に言えるようになります。それが、第2章で心を整える第一歩です。（間）
[33] 無理に我慢しないで、「今、心が何を求めているか」だけ、見てあげてください。（間）
[34] それだけで、今日は十分です。（間）
[35] 今日一番伝えたいことは、これです。ストレスで食欲が変化するのは、体と心が正常に機能している証拠。あなたは、壊れているわけではありません。（間）
[36] ワークに取り組んでみてください。今週、ストレスを感じた場面を3つ書き出し、そのとき食欲がどう変化したか、一緒にメモしてみてください。（間）
[37] 次回は、「人間関係ダイエット」についてお話しします。心を消耗させる人間関係と、ダイエットの意外な関係を見ていきましょう。（間）
[38] 今日も、ここまで付き合ってくれてありがとうございます。それでは、また次の動画でお会いしましょう。
